days_until_deadline,urgency
0.4,15
0.6,15
0.2,15
0.123,15
0.45,15
0.7,14
0.8,14
1,14
0.90,14
0.99,14
0.98,14
1.1,14, 
1.15,14
4.5,11
4.2,11
6,10,
6.5,10
6.2,10, 
6.3,10, 
6.6,10
7.2,9
7.3,9
7.5,9
8,9
9.5,9
9.4,9
9.3,9
11,8
12,8
13,8
12.5,8
13.5,8
14,8
13.9,8
12.2,8
11.9,8
11.8,8
11.7,8
11.6,8
11.3,8
22,7
529,1
214,2
611,1
518,1
452,1
526,1
119,4
494,1
333,2
544,1
280,2
539,1
231,2
104,4
17,7
266,2
590,1
130,3
540,1
653,1
286,2
334,2
723,1
275,2
165,3
685,1
209,2
685,1
304,2
399,1
21,7
187,2
514,1
688,1
137,3
602,1
252,2
187,2
277,2
433,1
408,1
281,2
277,2
243,2
61,5
268,2
92,4
615,1
480,1
490,1
400,1
120,4
539,1
328,2
34,6
424,1
36,6
380,1
643,1
48,6
83,5
593,1
142,3
44,6
701,1
242,2
533,1
204,2
105,4
62,5
175,3
593,1
597,1
16,7
334,2
300,2
374,1
658,1
211,2
12,8
239,2
4,11
71,5
701,1
136,3
725,1
419,1
597,1
318,2
276,2
73,5
211,2
266,2
187,2
50,6
88,5
621,1
659,1
702,1
8,9
727,1
216,2
628,1
688,1
726,1
193,2
457,1
13,8
501,1
708,1
664,1
446,1
368,1
175,3
721,1
52,6
396,1
515,1
681,1
58,6
435,1
591,1
257,2
185,2
619,1
244,2
495,1
4,11
516,1
62,5
228,2
36,6
666,1
385,1
708,1
55,6
627,1
667,1
188,2
157,3
583,1
434,1
9,9
4,11
354,2
437,1
313,2
83,5
678,1
27,7
606,1
720,1
558,1
474,1
11,8
312,2
456,1
375,1
359,2
659,1
175,3
282,2
435,1
122,3
271,2
185,2
501,1
503,1
179,3
719,1
680,1
132,3
184,2
388,1
458,1
461,1
624,1
257,2
322,2
64,5
33,6
585,1
386,1
56,6
725,1
533,1
469,1
535,1
647,1
434,1
537,1
379,1
118,4
567,1
406,1
340,2
229,2
226,2
16,7
47,6
465,1
677,1
567,1
228,2
109,4
326,2
462,1
234,2
688,1
627,1
641,1
128,3
458,1
44,6
348,2
414,1
365,2
175,3
611,1
216,2
222,2
99,4
328,2
632,1
144,3
18,7
95,4
16,7
139,3
572,1
203,2
646,1
173,3
478,1
183,2
87,5
525,1
90,5
480,1
688,1
61,5
12,8
172,3
269,2
279,2
399,1
215,2
485,1
468,1
176,3
111,4
331,2
632,1
164,3
376,1
69,5
332,2
685,1
86,5
111,4
335,2
567,1
452,1
56,6
178,3
625,1
720,1
195,2
305,2
611,1
535,1
95,4
130,3
275,2
178,3
412,1
249,2
495,1
314,2
677,1
122,3
585,1
345,2
622,1
142,3
304,2
593,1
482,1
108,4
39,6
379,1
156,3
121,3
376,1
18,7
373,1
244,2
72,5
495,1
616,1
73,5
8,9
584,1
116,4
43,6
98,4
161,3
72,5
700,1
360,2
716,1
449,1
224,2
103,4
115,4
497,1
386,1
206,2
576,1
87,5
190,2
433,1
680,1
620,1
164,3
564,1
417,1
345,2
308,2
646,1
237,2
236,2
679,1
62,5
530,1
248,2
485,1
97,4
315,2
171,3
728,1
212,2
516,1
132,3
186,2
271,2
296,2
293,2
533,1
576,1
28,7
553,1
66,5
280,2
57,6
647,1
161,3
556,1
190,2
585,1
169,3
313,2
407,1
29,7
456,1
298,2
328,2
562,1
165,3
20,7
485,1
32,6
368,1
545,1
90,5
269,2
665,1
177,3
710,1
673,1
177,3
181,2
46,6
213,2
139,3
482,1
92,4
339,2
319,2
241,2
720,1
481,1
388,1
450,1
86,5
644,1
67,5
611,1
11,8
313,2
252,2
595,1
379,1
167,3
504,1
600,1
725,1
190,2
17,7
532,1
290,2
427,1
401,1
342,2
685,1
220,2
697,1
60,6
340,2
723,1
80,5
460,1
62,5
158,3
456,1
402,1
505,1
475,1
206,2
634,1
682,1
322,2
635,1
249,2
493,1
348,2
340,2
91,4
394,1
376,1
283,2
368,1
643,1
75,5
402,1
339,2
123,3
190,2
354,2
432,1
545,1
257,2
433,1
88,5
636,1
127,3
422,1
467,1
54,6
216,2
225,2
70,5
442,1
14,8
410,1
505,1
174,3
449,1
411,1
240,2
689,1
641,1
485,1
313,2
547,1
560,1
349,2
290,2
224,2
429,1
501,1
16,7
645,1
157,3
130,3
543,1
164,3
278,2
435,1
519,1
518,1
472,1
430,1
660,1
476,1
36,6
681,1
632,1
402,1
336,2
362,2
295,2
46,6
82,5
569,1
41,6
273,2
385,1
3476,1
447,1
659,1
130,3
666,1
8,9
288,2
451,1
411,1
719,1
722,1
636,1
107,4
727,1
690,1
112,4
219,2
290,2
499,1
272,2
258,2
141,3
444,1
163,3
228,2
13,8
338,2
399,1
177,3
50,6
333,2
164,3
56,6
382,1
1539,1
454,1
15,7
217,2
466,1
144,3
207,2
39,6
23,7
727,1
252,2
194,2
60,6
694,1
45,6
488,1
60,6
121,3
190,2
429,1
546,1
393,1
163,3
187,2
291,2
626,1
649,1
1665,1
331,2
544,1
296,2
82,5
547,1
659,1
558,1
304,2
167,3
360,2
218,2
692,1
725,1
656,1
75,5
695,1
507,1
650,1
483,1
49,6
590,1
729,1
319,2
634,1
237,2
209,2
491,1
346,2
258,2
246,2
497,1
101,4
590,1
158,3
632,1
538,1
505,1
304,2
567,1
243,2
698,1
55,6
59,6
175,3
592,1
173,3
238,2
191,2
31,6
467,1
522,1
610,1
413,1
598,1
245,2
40,6
81,5
436,1
259,2
320,2
72,5
677,1
329,2
14,8
692,1
626,1
617,1
200,2
204,2
726,1
77,5
521,1
406,1
188,2
26,7
535,1
223,2
598,1
458,1
709,1
263,2
199,2
390,1
64,5
4,11
43,6
630,1
572,1
442,1
17,7
618,1
120,4
341,2
266,2
244,2
256,2
11,8
696,1
648,1
480,1
729,1
25,7
558,1
313,2
509,1
392,1
389,1
709,1
83,5
200,2
68,5
55,6
44,6
249,2
185,2
373,1
73,5
293,2
126,3
648,1
227,2
523,1
195,2
518,1
243,2
704,1
66,5
338,2
26,7
629,1
715,1
26,7
580,1
721,1
516,1
583,1
653,1
487,1
202,2
175,3
304,2
425,1
700,1
587,1
160,3
350,2
712,1
85,5
51,6
639,1
35,6
451,1
672,1
376,1
487,1
336,2
699,1
716,1
401,1
312,2
342,2
665,1
626,1
363,2
482,1
478,1
721,1
513,1
667,1
486,1
46,6
427,1
227,2
263,2
329,2
450,1
103,4
419,1
135,3
1,14
483,1
701,1
323,2
208,2
171,3
174,3
150,3
727,1
189,2
639,1
